# Bike Kingdom (Arosa/Lenzerheide/Chur) -- aus der Outdooractive-Projekt-API der offiziellen Trailmap
# Projekt api-arosalenzerheide, Key IETVOSAR-EMWGMZIJ-4OSSIQCH (steht offen in deren eigener Seite)
# Quelle der IDs: die /api/oois/jsonp/<ids>-Sammelrequests, die die Karte selbst absetzt
# Details: https://www.outdooractive.com/api/oois/<ids>?project=api-arosalenzerheide&key=<key>&lang=de&format=json
#   -- laeuft NUR aus dem Seitenkontext des Browsers; blankes urllib bekommt 404
# GPX:     https://www.outdooractive.com/en/download.tour.gpx?i=<id>&project=outdooractive  -- das geht mit urllib
# Spalten: id, name, laenge_km, aufstieg_m, abstieg_m, oa_difficulty(0-3)
59381284	707 Chur Flow: Sektion 1	1.119	0	194	1
59381286	707 Chur Flow: Sektion 2	1.025	0	136	1
59381293	707 Chur Flow: Sektion 3	1.579	0	196	1
59408697	ScaläraTrail	2.647	3	316	2
61585362	Bike Attack Traverse	0.904	1	60	2
800447753	Sonnenrüti Trail	1.04	10	28	2
800455177	Uphill Medergen	5.514	549	0	2
800455200	Aufstieg Prätschli	2.633	201	0	2
800455230	Aufstieg Mittelstation Weisshorn	2.05	104	1	2
800455264	Uphill Hörnli	5.212	488	3	2
800552823	No turning back	0.456	0	66	1
804380084	Spundisköpfe	1.455	24	204	3
804380297	703 Rock'n'Roll: Sektion 4	0.581	0	151	3
804380403	703 Rock'n'Roll: Jump Section	0.347	1	52	3
807921623	Access Fanüllatobel	6.173	104	187	1
808139489	Connection Pedra Grossa - Tgantieni	1.972	1	233	1
808139685	Connection Pedra Grossa - Lavoz	0.882	0	63	1
808139768	Connection Lavoz Trail- Dunkler Wald Trail	0.404	1	53	1
808214989	Access Motta	1.668	99	8	1
808215161	Access Weisshorn Speed	0.802	2	73	1
808229205	Access Langwies	5.909	83	392	1
808231358	Access Prätschalp	1.763	66	20	1
808253710	Access Fürhörnli	3.417	588	1	2
808254695	Access Spundis/Lady Patricia	2.861	229	3	1
808254870	Access Schönegg	4.07	391	4	2
